,Grade,Buyer_Name,Qty,Average,year,month,sale_date,purchased
259,SILVERTIPS,ADAMSON COMPANY,0.0,0.0,2025,8,2025-08-01,0
260,SILVERTIPS,ADAMSON COMPANY,0.0,0.0,2025,9,2025-09-01,0
261,SILVERTIPS,ADAMSON COMPANY,0.0,0.0,2025,10,2025-10-01,0
262,SILVERTIPS,ADAMSON COMPANY,7.0,7142.86,2025,11,2025-11-01,1
263,SILVERTIPS,ADAMSON COMPANY,0.0,0.0,2025,12,2025-12-01,0
264,SILVERTIPS,ADAMSON COMPANY,7.0,13285.71,2026,1,2026-01-01,1
265,SILVERTIPS,ADAMSON COMPANY,0.0,0.0,2026,2,2026-02-01,0
266,SILVERTIPS,ADAMSON COMPANY,0.0,0.0,2026,3,2026-03-01,0
267,SILVERTIPS,ADAMSON COMPANY,4.0,21000.0,2026,4,2026-04-01,1
268,SILVERTIPS,ADAMSON COMPANY,0.0,0.0,2026,5,2026-05-01,0
269,SILVERTIPS,ADAMSON COMPANY,0.0,0.0,2026,6,2026-06-01,0
270,GOLDENTIPS,AGALAWATTE PLANTATIONAS,0.0,0.0,2025,1,2025-01-01,0
271,GOLDENTIPS,AGALAWATTE PLANTATIONAS,0.0,0.0,2025,2,2025-02-01,0
272,GOLDENTIPS,AGALAWATTE PLANTATIONAS,0.0,0.0,2025,3,2025-03-01,0
273,GOLDENTIPS,AGALAWATTE PLANTATIONAS,0.0,0.0,2025,4,2025-04-01,0
274,GOLDENTIPS,AGALAWATTE PLANTATIONAS,0.0,0.0,2025,5,2025-05-01,0
275,GOLDENTIPS,AGALAWATTE PLANTATIONAS,0.0,0.0,2025,6,2025-06-01,0
276,GOLDENTIPS,AGALAWATTE PLANTATIONAS,25.0,32880.0,2025,7,2025-07-01,1
277,GOLDENTIPS,AGALAWATTE PLANTATIONAS,19.0,32842.11,2025,8,2025-08-01,1
278,GOLDENTIPS,AGALAWATTE PLANTATIONAS,26.0,32903.85,2025,9,2025-09-01,1
279,GOLDENTIPS,AGALAWATTE PLANTATIONAS,26.0,32923.08,2025,10,2025-10-01,1
280,GOLDENTIPS,AGALAWATTE PLANTATIONAS,12.0,33000.0,2025,11,2025-11-01,1
281,GOLDENTIPS,AGALAWATTE PLANTATIONAS,6.0,32166.67,2025,12,2025-12-01,1
282,GOLDENTIPS,AGALAWATTE PLANTATIONAS,17.0,32882.35,2026,1,2026-01-01,1
283,GOLDENTIPS,AGALAWATTE PLANTATIONAS,33.0,32303.03,2026,2,2026-02-01,1
284,GOLDENTIPS,AGALAWATTE PLANTATIONAS,11.0,32818.18,2026,3,2026-03-01,1
285,GOLDENTIPS,AGALAWATTE PLANTATIONAS,17.0,33000.0,2026,4,2026-04-01,1
